KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
601632;Byst¯ice u BÏlÈ nad Radbuzou;648;4226394;271168;0;0;25478;0;1560377;2213668;8218;24007;123478;22;2;40
601641;»eËÌn;429;2925775;1243320;0;0;12937;0;547953;954172;8025;13141;146227;8;2;37
601659;»ern· Hora u BÏlÈ nad Radbuzou;338;4985399;1047912;0;0;5783;0;122503;3480894;176923;9755;141629;2;4;22
601667;Doubravka u BÏlÈ nad Radbuzou;913;2205219;357021;0;0;16194;0;1045350;663086;23353;10161;90054;9;1;30
601675;⁄jezd SvatÈho K¯Ìûe;1538;6401640;1265129;0;0;72596;704;2373550;2180586;70097;56022;382956;73;2;106
601683;BÏl· nad Svitavou;2047;11548821;6205414;0;0;306289;6646;1617029;2714947;23420;87813;587263;209;3;403
601705;BÏl· pod BezdÏzem;7022;36964123;7771784;0;0;567266;41191;1562328;23832568;207780;599453;2381753;1329;231;2277
601756;Adolfovice;2476;34964624;2771578;0;0;170289;0;2140543;28765590;150234;130678;835712;245;4;402
601772;Domaöov u JesenÌka;5814;57183898;2229218;0;0;393937;0;8010105;44705204;245180;239798;1360456;371;74;696
601799;BÏl· u JevÌËka;1095;5140282;1037639;0;0;108588;19811;1541105;2070592;18366;47481;296700;122;0;220
601802;MalonÌn;373;2604297;684073;0;0;30223;0;320496;1406347;6634;15576;140948;32;0;82
601811;Smoln· u JevÌËka;474;1956710;853512;0;0;44427;38425;316929;549660;16694;15628;121435;40;0;103
601829;BÏl· u Pecky;832;2221953;469211;0;0;34512;3154;778984;680435;49325;33115;173217;80;4;189
601837;DolnÌ Javo¯Ì;611;1271543;261261;0;0;30235;8581;543049;320008;17397;17885;73127;30;0;95
601845;HornÌ Javo¯Ì;260;922412;418101;0;0;34755;11553;275916;131223;270;10788;39806;24;1;63
601853;RadkynÏ;679;2097273;825419;0;0;32997;5799;672899;320722;10011;26669;202757;34;1;89
601861;UhlÌ¯e;504;1668388;302448;0;0;44273;11084;442507;747728;491;18713;101144;43;0;101
601870;BÏlËice;1627;10958419;5203294;0;0;193841;8389;1773305;2218856;654385;157308;749041;295;16;613
601888;BÏleË;876;18487361;4367216;0;0;105036;78254;300334;13086282;99063;85607;365569;128;21;283
601896;BÏleË u MladÈ Voûice;2977;12227447;4474913;0;0;115973;0;2104136;4621660;220011;79258;611496;83;6;256
601918;BÏleË u Lomnice;727;2449544;172559;0;0;79773;8172;907878;1033061;9982;21872;216247;54;5;95
601926;K¯eptov;355;1561377;401985;0;0;33513;6806;280756;690418;0;9343;138556;26;0;50
601934;BÏleË nad OrlicÌ;1775;18819192;1712950;0;0;75741;0;991836;15063397;213048;86594;675626;125;159;430
601942;BÏleËko;858;10866966;1011833;0;0;83769;2851;843326;8575808;66116;55695;227568;106;1;209
601951;BÏlice;1296;5630423;2794594;0;0;75516;9042;398381;1838895;44501;57199;412295;64;7;149
601977;BÏlkovice;1779;5402575;3755509;5502;0;281583;0;37259;704294;106153;129740;382535;315;15;587
601985;Laöùany;2171;9893936;3230925;0;0;212989;0;404416;5333264;32801;166138;513403;367;107;704
601993;BÏloky;613;2224618;1692327;0;0;57041;18406;55693;202636;23490;36633;138392;69;0;138
602001;BÏlotÌn;3538;18887183;11908432;0;0;464283;11583;411395;1897503;302844;244297;3646846;321;1;617
602019;BÏlov;1590;3438121;1366921;0;0;161454;87962;371444;938016;175273;71823;265228;135;2;329
602027;BÏluöice;593;2545494;1345799;0;0;116859;21186;36603;803678;16398;78849;126122;131;0;260
602035;Bed¯ich˘v SvÏtec;319;2837725;1707693;0;60207;31339;52733;117873;394494;24778;17469;431139;22;0;48
602043;BÏluöice u Mostu;546;3487813;1760980;0;282781;57060;400178;215442;194565;40585;48768;487454;46;1;91
602051;Odolice;559;4491638;2885634;0;0;21841;0;870125;124542;31050;29693;528753;28;1;75
602060;Ben·teck· Vrutice;1826;9155113;4730492;0;0;93440;26965;277814;444174;80192;267500;3234536;307;0;1652
602078;Ji¯ice;675;8376378;3471753;0;0;76435;25523;24695;3658425;4992;113408;1001147;93;1;232
602086;Ben·tky;559;3608913;2770359;0;0;46222;0;191793;182620;26965;68138;322816;51;3;120
602094;Ben·tky u Litomyöle;1490;4784532;3668068;0;0;146929;9997;372018;134580;31999;59460;361481;127;0;250
602108;NovÈ Ben·tky;2651;4223953;2694598;0;13508;294210;11643;82785;62522;67654;286530;710503;653;3;1172
602116;Obod¯;726;3456037;1837784;0;0;132346;4370;306828;802071;31114;54034;287490;133;15;260
602124;StarÈ Ben·tky;2790;13388250;6455030;0;0;281525;0;4365;3619461;34966;335090;2657813;612;3;1643
602132;Benecko;1756;4879455;98840;0;0;6705;0;1819294;2656551;2405;63898;231762;200;0;388
602141;DolnÌ ätÏpanice;1595;2433332;98189;0;0;69754;9653;1175694;831987;40410;37422;170223;143;0;243
602159;HornÌ ätÏpanice;2318;5521169;532185;0;0;11360;20808;2441679;2116269;37986;54405;306477;163;0;300
602167;Mrklov;2042;3683465;543407;0;0;4052;0;1989753;845257;8777;41327;250892;125;1;238
602191;Beneöov u Prahy;13729;40220552;13168336;0;0;1065593;336025;4248706;12669506;801539;1327849;6602998;2139;103;5841
602353;Beneöov;1426;5519823;1436462;0;0;67086;0;596234;3131819;58443;32667;197112;53;3;100
602361;Beneöov u Boskovic;3790;13625964;2525902;0;0;155828;0;1593950;8214423;53698;117965;964198;277;4;486
602388;Beneöov nad »ernou;2251;12408764;2668322;0;0;193927;36545;2559588;5233637;264855;112075;1339815;333;0;648
602396;Velk˝ Jind¯ichov;389;6321326;68099;0;0;3065;0;1544462;4390697;53823;11084;250096;26;0;49
602400;Hartunkov;1373;5837466;1242868;0;0;8118;0;1309283;2774411;120480;13183;369123;51;0;103
602426;KlenÌ;1803;7650412;772018;0;0;24279;0;1803459;3784398;354334;27560;884364;134;0;245
602434;Ku¯Ì;1627;6923217;1116541;0;0;3018;0;1542032;3522352;16685;15002;707587;39;0;92
602442;ValtÈ¯ov;1053;4159096;1950885;0;0;7852;42810;182918;1638208;15244;5934;315245;16;0;46
602451;Beneöov nad PlouËnicÌ;2737;5307657;193495;0;0;414708;530194;663862;2207685;124506;284476;888731;646;88;1790
602469;Ovesn·;677;4464277;190820;0;0;52983;8015;1777628;2002180;7046;15266;410339;25;15;87
602477;Beneöov u Semil;3591;5385910;2286269;0;0;247677;19098;1218792;888928;123203;108551;493392;301;7;560
602515;Beneöova Hora;1495;4201674;1416789;0;0;57417;0;1311906;908669;12807;42901;451185;99;4;257
